LGD;CODE
et_sq_or;"mean [count (turtles-on neighbors) with [color = [color] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""square"" and color = orange]"
et_cl_or;"mean [count (turtles-on neighbors) with [color = [color] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""circle"" and color = orange]"
vl_sq_bl;"mean [count (turtles-on neighbors) with [ shape = [ shape] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""square"" and color = blue]"
vl_cl_bl;"mean [count (turtles-on neighbors) with [shape = [shape] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""circle"" and color = blue]"
vl_sq_or;"mean [count (turtles-on neighbors) with [shape = [shape] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""square"" and color = orange]"
vl_cl_or;"mean [count (turtles-on neighbors) with [shape = [shape] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and  shape = ""circle"" and color = orange]"
den_sq_bl;"mean [count (turtles-on neighbors)] of turtles with [shape = ""square""  and color = blue] / 8"
den_sq_or;"mean [count (turtles-on neighbors)] of turtles with [shape = ""square""  and color = orange] / 8"
den_cl_bl;"mean [count (turtles-on neighbors)] of turtles with [shape = ""circle""  and color = blue] / 8"
den_cl_or;"mean [count (turtles-on neighbors)] of turtles with [shape = ""circle""  and color = orange] / 8"
cls_et_sq_bl;"mean [(((count (turtles-on neighbors) with [color = [color] of myself]) / (count turtles-on neighbors)) / ((count turtles with [color = [color] of myself]) / count turtles))]  of turtles with [color = blue and shape = ""square"" and count (turtles-on neighbors) >= 1]"
cls_et_cl_bl;"mean [(((count (turtles-on neighbors) with [color = [color] of myself]) / (count turtles-on neighbors))  /  ((count turtles with [color = [color] of myself]) / count turtles)) ] of turtles with  [color =  blue  and shape = ""circle"" and count (turtles-on neighbors) >= 1]"
cls_et_sq_or;"mean [(((count (turtles-on neighbors) with [color = [color] of myself]) / (count turtles-on neighbors)) / ((count turtles with [color = [color] of myself]) / count turtles))] of turtles with [color = orange and shape = ""square"" and count (turtles-on neighbors) >= 1]"
cls_et_cl_or;"mean [(((count (turtles-on neighbors) with [color = [color] of myself]) / (count turtles-on neighbors)) / ((count turtles with [color = [color] of myself]) / count turtles))] of turtles with [color = orange and shape = ""circle"" and count (turtles-on neighbors) >= 1]"
cls_vl_sq_bl;"mean [(((count (turtles-on neighbors) with [shape = [shape] of myself]) / (count turtles-on neighbors)) / ((count turtles with [shape = [shape] of myself]) / count turtles))] of turtles with [color = blue  and shape = ""square"" and count (turtles-on neighbors) >= 1]"
cls_vl_cl_bl;"mean [(((count (turtles-on neighbors) with [shape = [shape] of myself]) / (count turtles-on neighbors)) / ((count turtles with [shape = [shape] of myself]) / count turtles))] of turtles with [color = blue  and shape = ""circle"" and count (turtles-on neighbors) >= 1]"
cls_vl_sq_or;"mean [(((count (turtles-on neighbors) with [shape = [shape] of myself]) / (count turtles-on neighbors)) / ((count turtles with [shape = [shape] of myself]) / count turtles))] of turtles with [color = orange and shape = ""square"" and count (turtles-on neighbors) >= 1]"
cls_vl_cl_or;"mean [(((count (turtles-on neighbors) with [shape = [shape] of myself]) / (count turtles-on neighbors)) / ((count turtles with [shape = [shape] of myself]) / count turtles))] of turtles with [color = orange and shape = ""circle"" and count (turtles-on neighbors) >= 1]"
cls_den_sq_bl;"mean [ count (turtles-on neighbors) / (count turtles / count patches)] of turtles with [shape = ""square"" and color = blue] / 8"
cls_den_cl_bl;"mean [ count (turtles-on neighbors) / (count turtles / count patches)] of turtles with [shape = ""circle"" and color = blue] / 8"
cls_den_sq_or;"mean [ count (turtles-on neighbors) / (count turtles / count patches)] of turtles with [shape = ""square"" and color = orange] / 8"
cls_den_cl_or;"mean [ count (turtles-on neighbors) / (count turtles / count patches)] of turtles with [shape = ""circle"" and color = orange] / 8"
cls_et_bl;mean [(((count (turtles-on neighbors) with [color = [color] of myself]) / (count turtles-on neighbors)) / ((count turtles with [color = [color] of myself]) / count turtles))]  of turtles with [color = blue  and count (turtles-on neighbors) >= 1]
cls_et_or;mean [(((count (turtles-on neighbors) with [color = [color] of myself]) / (count turtles-on neighbors)) / ((count turtles with [color = [color] of myself]) / count turtles))]  of turtles with [color = orange  and count (turtles-on neighbors) >= 1]
cls_et_sq;"mean [(((count (turtles-on neighbors) with [color = [color] of myself]) / (count turtles-on neighbors)) / ((count turtles with [color = [color] of myself]) / count turtles))]  of turtles with [shape = ""square""  and count (turtles-on neighbors) >= 1]"
cls_et_cl;"mean [(((count (turtles-on neighbors) with [color = [color] of myself]) / (count turtles-on neighbors)) / ((count turtles with [color = [color] of myself]) / count turtles))]  of turtles with [shape = ""circle""  and count (turtles-on neighbors) >= 1]"
cls_vl_bl;mean [(((count (turtles-on neighbors) with [shape = [shape] of myself]) / (count turtles-on neighbors)) / ((count turtles with [shape = [shape] of myself]) / count turtles))]  of turtles with [color = blue  and count (turtles-on neighbors) >= 1]
cls_vl_or;mean [(((count (turtles-on neighbors) with [shape = [shape] of myself]) / (count turtles-on neighbors)) / ((count turtles with [shape = [shape] of myself]) / count turtles))]  of turtles with [color = orange  and count (turtles-on neighbors) >= 1]
cls_vl_sq;"mean [(((count (turtles-on neighbors) with [shape = [shape] of myself]) / (count turtles-on neighbors)) / ((count turtles with [shape = [shape] of myself]) / count turtles))]  of turtles with [shape = ""square""   and count (turtles-on neighbors) >= 1]"
cls_vl_cl;"mean [(((count (turtles-on neighbors) with [shape = [shape] of myself]) / (count turtles-on neighbors)) / ((count turtles with [shape = [shape] of myself]) / count turtles))]  of turtles with [shape = ""circle""  and count (turtles-on neighbors) >= 1]"
cls_den_bl;mean [ count (turtles-on neighbors) / (count turtles / count patches)] of turtles with [color = blue] / 8
cls_den_or;mean [ count (turtles-on neighbors) / (count turtles / count patches)] of turtles with [color = orange] / 8
cls_den_sq;"mean [ count (turtles-on neighbors) / (count turtles / count patches)] of turtles with [shape = ""square""] / 8"
cls_den_cl;"mean [ count (turtles-on neighbors) / (count turtles / count patches)] of turtles with [shape = ""circle""] / 8"
